empresa,sector,estado,detalle,usuarios_afectados
AySA,Agua y saneamiento,Licitación lanzada 15/05/2026,Venta 90% acciones estatales - concesión 30 años,14000000
Hidrovía Paraná-Paraguay,Transporte/comercio exterior,Pliego en preparación,80% exportaciones agroindustriales,
Corredores Viales,Rutas/autopistas,En proceso,Concesión rutas nacionales,
Belgrano Cargas,Ferrocarril de carga,Prioridad 2026,Parte de 8 privatizaciones prioritarias,
Trenes Argentinos,Transporte ferroviario,En proceso,Incluido en Ley Bases,
Enarsa,Energía,En proceso,Comercializadora estatal,
Nucleoeléctrica,Energía nuclear,En proceso,Centrales Atucha y Embalse,
Intercargo,Aviación (handling),En proceso,Servicios aeroportuarios,
Transener,Transmisión eléctrica,En estudio,Red de alta tensión,
4 represas hidroeléctricas,Energía,En estudio,Concesiones hidroeléctricas,
Yac. Carboníferos Río Turbio,Minería carbón,En proceso,Mina estatal en Santa Cruz,
