year,nuevos_casos,acumulado,fuente
2006,3200,3200,RNPD estimado
2007,3800,7000,RNPD estimado
2008,5200,12200,RNPD estimado
2009,5800,18000,RNPD estimado
2010,6500,24500,RNPD estimado
2011,7200,31700,RNPD estimado
2012,6100,37800,RNPD estimado
2013,5400,43200,RNPD estimado
2014,5100,48300,RNPD estimado
2015,5300,53600,RNPD estimado
2016,5600,59200,RNPD estimado
2017,6200,65400,RNPD estimado
2018,7100,72500,RNPD estimado
2019,7500,80000,RNPD estimado
2020,7970,87970,RNPD
2021,8107,96077,RNPD
2022,8186,104263,RNPD
2023,10383,114646,RNPD
2024,13053,127699,RNPD
2025,14079,132534,RNPD/La Jornada 2026
