departamento,homicidios,tipo_dato,fuente
Valle del Cauca,46,real,Caribe Afirmativo 2026
Antioquia,41,real,Caribe Afirmativo 2026
Bogotá D.C.,40,real,Caribe Afirmativo 2026
Bolívar,12,real,Caribe Afirmativo 2026
Atlántico,8,real,Caribe Afirmativo 2026
Magdalena,7,real,Caribe Afirmativo 2026
Santander,14,estimado,Distribución proporcional del informe
Norte de Santander,9,estimado,Distribución proporcional del informe
Nariño,9,estimado,Distribución proporcional del informe
Cauca,8,estimado,Distribución proporcional del informe
Córdoba,8,estimado,Distribución proporcional del informe
Cundinamarca,6,estimado,Distribución proporcional del informe
Tolima,5,estimado,Distribución proporcional del informe
Huila,5,estimado,Distribución proporcional del informe
Risaralda,5,estimado,Distribución proporcional del informe
Meta,4,estimado,Distribución proporcional del informe
Caldas,4,estimado,Distribución proporcional del informe
Cesar,4,estimado,Distribución proporcional del informe
Putumayo,3,estimado,Distribución proporcional del informe
Sucre,3,estimado,Distribución proporcional del informe
Chocó,3,estimado,Distribución proporcional del informe
La Guajira,3,estimado,Distribución proporcional del informe
Boyacá,3,estimado,Distribución proporcional del informe
Caquetá,2,estimado,Distribución proporcional del informe
Quindío,2,estimado,Distribución proporcional del informe
